Date,Shadow Value,Market Value,Equity Curve
2000-12-14,8934.40,8934.40,9196.534
2000-12-21,9069.30,8904.40,9177.920
2000-12-28,9481.63,8904.40,9164.885
2001-01-04,8935.40,8935.40,9147.287
2001-01-11,8959.60,8905.40,9136.169
2001-01-18,9037.92,8905.40,9129.977
2001-01-25,9071.84,8905.40,9123.302
2001-02-01,9445.20,8905.40,9125.277
2001-02-08,8715.69,8715.69,9119.020
2001-02-15,8638.87,8685.69,9107.631
2001-02-22,8551.67,8685.69,9099.790
2001-03-01,8711.42,8685.69,9088.057
2001-03-08,8648.32,8685.69,9073.682
2001-03-15,8161.01,8685.69,9052.073
2001-03-22,7853.53,8685.69,9020.578
2001-03-29,7978.06,8685.69,8995.785
2001-04-05,7833.35,8685.69,8972.253
2001-04-12,7932.09,8685.69,8952.722
2001-04-19,7974.57,8685.69,8937.206
2001-04-26,7988.14,8685.69,8921.077
2001-05-03,8172.51,8685.69,8908.498
2001-05-10,8059.35,8685.69,8890.834
2001-05-17,8046.90,8685.69,8871.081
2001-05-24,7933.22,8685.69,8838.125
2001-05-31,7813.24,8685.69,8804.268
2001-06-07,8012.21,8685.69,8777.620
2001-06-14,8156.90,8685.69,8751.912
2001-06-21,8027.37,8685.69,8720.847
2001-06-28,8040.28,8685.69,8691.202
2001-07-05,8057.17,8685.69,8663.715
2001-07-12,8028.37,8685.69,8632.261
2001-07-19,8354.81,8685.69,8609.895
2001-07-26,8185.93,8685.69,8584.905
2001-08-02,8494.26,8685.69,8560.835
2001-08-09,8322.21,8685.69,8534.624
2001-08-16,8448.59,8685.69,8516.618
2001-08-23,8505.54,8685.69,8503.703
2001-08-30,8576.73,8576.73,8495.506
2001-09-06,8398.34,8398.34,8487.625
2001-09-10,8182.78,8368.34,8469.966
2001-09-20,7257.13,8368.34,8433.125
2001-09-27,7024.06,8368.34,8400.756
2001-10-04,7566.18,8368.34,8380.903
2001-10-11,7529.97,8368.34,8362.665
2001-10-18,7625.39,8368.34,8338.432
2001-10-25,7476.25,8368.34,8310.021
2001-11-01,7454.78,8368.34,8282.337
2001-11-08,7433.10,8368.34,8256.992
2001-11-15,7683.19,8368.34,8237.374
2001-11-21,7709.56,8368.34,8209.967
2001-11-29,7787.23,8368.34,8187.023
2001-12-06,8232.92,8368.34,8170.296
2001-12-13,8061.03,8061.03,8141.884
2001-12-20,8177.23,8031.03,8126.720
2001-12-27,8116.68,8116.68,8109.862
2002-01-03,8353.78,8353.78,8096.179
2002-01-10,8539.43,8539.43,8085.531
2002-01-17,8513.73,8513.73,8066.901
2002-01-24,8458.78,8458.78,8061.763
2002-01-31,8826.33,8826.33,8065.512
2002-02-07,8708.33,8708.33,8068.646
2002-02-14,8960.03,8960.03,8073.618
2002-02-21,8726.48,8726.48,8075.181
2002-02-28,8748.13,8748.13,8086.923
2002-03-07,9203.63,9203.63,8113.925
2002-03-14,9112.13,9112.13,8136.607
2002-03-21,9247.93,9247.93,8164.898
2002-03-28,9196.33,9196.33,8190.183
2002-04-04,9147.16,9147.16,8213.635
2002-04-11,9147.10,9147.10,8236.814
2002-04-18,9514.30,9514.30,8263.650
2002-04-25,9500.88,9500.88,8292.481
2002-05-02,9418.49,9418.49,8319.912
2002-05-09,9578.34,9578.34,8352.815
2002-05-16,9734.94,9734.94,8391.249
2002-05-23,9666.40,9666.40,8424.333
2002-05-30,9648.46,9648.46,8454.164
2002-06-06,9569.69,9569.69,8485.010
2002-06-13,9131.46,9131.46,8506.834
2002-06-20,9058.04,9058.04,8526.851
2002-06-27,9222.26,9222.26,8550.729
2002-07-03,8929.32,8929.32,8562.219
2002-07-11,8800.40,8800.40,8574.509
2002-07-18,8729.80,8729.80,8579.219
2002-07-25,8118.41,8118.41,8575.143
2002-08-01,8143.98,8088.41,8569.051
2002-08-08,8130.33,8088.41,8561.547
2002-08-15,8317.14,8088.41,8556.355
2002-08-22,8498.61,8088.41,8558.361
2002-08-29,8386.67,8088.41,8562.438
2002-09-05,8094.38,8088.41,8579.183
2002-09-12,8176.49,8088.41,8602.232
2002-09-19,7772.72,8088.41,8606.363
2002-09-26,7470.35,8088.41,8605.170
2002-10-03,7532.98,8088.41,8603.322
2002-10-10,7229.28,8088.41,8598.383
2002-10-17,7844.87,8088.41,8606.185
2002-10-24,7843.64,8088.41,8614.395
2002-10-31,7933.33,8088.41,8619.398
2002-11-07,7968.50,8088.41,8624.577
2002-11-14,7964.88,8088.41,8628.130
2002-11-21,8126.11,8088.41,8625.994
2002-11-27,8006.68,8088.41,8624.907
2002-12-05,7770.69,8088.41,8616.776
2002-12-12,7863.76,8088.41,8611.718
2002-12-19,7807.93,8088.41,8600.801
2002-12-26,7903.78,8088.41,8588.088
2003-01-02,7925.56,8088.41,8576.324
2003-01-09,7994.25,8088.41,8567.034
2003-01-16,8301.87,8088.41,8556.544
2003-01-23,8260.30,8088.41,8547.584
2003-01-30,7915.52,8088.41,8526.694
2003-02-06,7836.76,8088.41,8508.899
2003-02-13,7704.34,8088.41,8488.023
2003-02-20,7845.87,8088.41,8460.868
2003-02-27,7780.10,8088.41,8434.228
2003-03-06,7683.86,8088.41,8402.946
2003-03-13,7527.54,8088.41,8369.570
2003-03-20,7742.34,8088.41,8341.474
2003-03-27,7803.12,8088.41,8314.594
2003-04-03,7792.37,8088.41,8280.156
2003-04-10,7923.87,8088.41,8248.616
2003-04-17,7943.06,8088.41,8219.107
2003-04-24,7851.04,8088.41,8184.561
2003-05-01,8000.76,8088.41,8149.877
2003-05-08,8170.69,8088.41,8119.963
2003-05-15,8269.58,8269.58,8092.386
2003-05-22,8219.27,8219.27,8065.377
2003-05-29,8454.53,8454.53,8051.839
2003-06-05,8813.70,8813.70,8046.952
2003-06-12,9039.18,9039.18,8043.290
2003-06-19,9027.40,9027.40,8045.252
2003-06-26,8880.55,8880.55,8046.855
2003-07-03,9411.25,9411.25,8060.484
2003-07-10,9467.20,9467.20,8087.460
2003-07-17,9353.04,9353.04,8111.641
2003-07-24,9470.79,9470.79,8138.450
2003-07-31,9511.29,9511.29,8162.333
2003-08-07,9364.13,9364.13,8179.643
2003-08-14,9689.87,9689.87,8205.707
2003-08-21,10112.29,10112.29,8246.066
2003-08-28,9950.06,9950.06,8281.537
2003-09-04,10189.66,10189.66,8329.876
2003-09-11,10073.59,10073.59,8381.941
2003-09-18,10392.15,10392.15,8439.124
2003-09-25,10330.13,10330.13,8501.141
2003-10-02,10421.45,10421.45,8552.673
2003-10-09,11081.04,11081.04,8617.421
2003-10-16,11123.47,11123.47,8681.223
2003-10-23,11189.70,11189.70,8745.647
2003-10-30,11271.34,11271.34,8811.777
2003-11-06,11281.30,11281.30,8874.880
2003-11-13,11141.00,11141.00,8937.567
2003-11-20,10830.53,10830.53,8998.764
2003-11-26,11007.86,11007.86,9061.646
2003-12-04,11291.63,11291.63,9131.320
2003-12-11,11248.90,11248.90,9198.222
2003-12-18,11375.32,11375.32,9267.217
2003-12-24,11525.31,11525.31,9337.838
2003-12-31,11787.89,11787.89,9407.559
2004-01-08,12307.00,12307.00,9488.493
2004-01-15,12186.81,12186.81,9573.919
2004-01-22,12508.31,12508.31,9667.350
2004-01-29,11958.65,11958.65,9752.436
2004-02-05,11991.26,11991.26,9835.344
2004-02-12,12480.01,12480.01,9929.342
2004-02-19,12758.81,12758.81,10030.84
2004-02-26,12662.20,12662.20,10133.53
2004-03-04,12648.34,12648.34,10231.65
2004-03-11,12228.94,12228.94,10320.17
2004-03-18,12645.14,12645.14,10417.23
2004-03-25,12567.04,12567.04,10510.09
2004-04-01,12795.19,12795.19,10607.13
2004-04-08,12801.45,12801.45,10706.14
2004-04-15,12362.02,12362.02,10793.37
2004-04-22,12469.61,12469.61,10879.34
2004-04-29,11869.00,11869.00,10951.33
2004-05-06,11954.38,11954.38,11026.03
2004-05-13,11262.90,11262.90,11082.20
2004-05-20,11241.93,11241.93,11130.77
2004-05-27,11759.48,11759.48,11185.17
2004-06-03,11466.78,11466.78,11233.96
2004-06-10,11733.68,11733.68,11291.02
2004-06-17,11595.97,11595.97,11334.72
2004-06-24,11863.41,11863.41,11382.64
2004-07-01,11893.90,11893.90,11433.46
2004-07-08,12267.88,12267.88,11489.40
2004-07-15,12192.63,12192.63,11543.03
2004-07-22,12080.87,12080.87,11597.36
2004-07-29,11971.78,11971.78,11643.00
2004-08-05,12044.69,12044.69,11681.65
2004-08-12,11914.84,11914.84,11720.94
2004-08-19,12121.76,12121.76,11759.59
