symbol,date,open,high,low,close,volume,adjClose,rolled
"ALD","2011-09-16","51.75","52.08","51.75","51.97","58200","51.97","false"
"ALD","2011-09-15","51.93","52.01","51.88","51.98","68300","51.98","false"
"ALD","2011-09-14","51.91","52.21","51.80","52.08","89700","52.08","false"
"ALD","2011-09-13","52.49","52.52","52.18","52.18","63800","52.18","false"
"ALD","2011-09-12","52.52","52.73","52.51","52.65","94700","52.65","false"
"ALD","2011-09-09","53.01","53.01","52.82","52.92","205000","52.92","false"
"ALD","2011-09-08","53.18","53.26","53.08","53.17","183200","53.17","false"
"ALD","2011-09-07","53.26","53.34","53.21","53.33","62400","53.33","false"
"ALD","2011-09-06","53.26","53.31","53.13","53.23","100400","53.23","false"
"ALD","2011-09-02","53.43","53.55","53.35","53.43","144400","53.43","false"
"ALD","2011-09-01","53.37","53.45","53.37","53.42","98200","53.42","false"
"ALD","2011-08-31","53.49","53.49","53.32","53.40","201900","53.40","false"
"ALD","2011-08-30","53.37","53.56","53.22","53.25","66400","53.25","false"
"ALD","2011-08-29","53.29","53.29","53.12","53.25","173800","53.25","false"
"ALD","2011-08-26","52.98","53.19","52.94","53.05","366700","53.05","false"
"ALD","2011-08-25","53.05","53.07","52.80","52.84","156900","52.84","false"
"ALD","2011-08-24","53.19","53.19","53.03","53.09","183600","53.09","false"
"ALD","2011-08-23","53.21","53.25","53.14","53.23","84700","53.23","false"
"ALD","2011-08-22","53.14","53.33","53.02","53.14","328500","53.14","false"
"ALD","2011-08-19","53.20","53.25","53.05","53.15","1313200","53.05","false"
"ALD","2011-08-18","53.37","53.38","53.04","53.09","168300","52.99","false"
"ALD","2011-08-17","53.62","53.65","53.42","53.47","179500","53.37","false"
"ALD","2011-08-16","53.44","53.50","53.31","53.41","87000","53.31","false"
"ALD","2011-08-15","53.46","53.48","53.29","53.34","116500","53.24","false"
"ALD","2011-08-12","53.23","53.31","53.09","53.24","80500","53.14","false"
"ALD","2011-08-11","53.04","53.16","52.93","53.14","163400","53.04","false"
"ALD","2011-08-10","52.66","52.99","52.66","52.89","188400","52.79","false"
"ALD","2011-08-09","52.28","52.69","52.25","52.61","195800","52.51","false"
"ALD","2011-08-08","53.05","53.05","52.39","52.39","90700","52.29","false"
"ALD","2011-08-05","53.04","53.20","52.75","53.04","111600","52.94","false"
"ALD","2011-08-04","53.18","53.20","52.98","53.02","117900","52.92","false"
"ALD","2011-08-03","53.51","53.57","53.31","53.41","81200","53.31","false"
"ALD","2011-08-02","53.60","53.60","53.43","53.56","69500","53.46","false"
"ALD","2011-08-01","53.67","53.70","53.50","53.66","116400","53.56","false"
"ALD","2011-07-29","53.46","53.55","53.36","53.43","131300","53.33","false"
"ALD","2011-07-28","53.45","53.66","53.41","53.45","172900","53.35","false"
"ALD","2011-07-27","53.41","53.70","53.34","53.38","164000","53.28","false"
"ALD","2011-07-26","53.22","53.31","53.20","53.28","46300","53.18","false"
"ALD","2011-07-25","53.08","53.09","53.02","53.07","49500","52.97","false"
"ALD","2011-07-22","53.07","53.16","53.03","53.04","82400","52.88","false"
"ALD","2011-07-21","52.85","52.99","52.85","52.97","81300","52.81","false"
"ALD","2011-07-20","52.83","55.08","52.81","52.86","70100","52.70","false"
"ALD","2011-07-19","52.69","52.78","52.69","52.77","46300","52.61","false"
"ALD","2011-07-18","52.58","52.63","52.50","52.63","66800","52.47","false"
"ALD","2011-07-15","52.63","52.68","52.60","52.68","79800","52.52","false"
"ALD","2011-07-14","52.70","52.72","52.62","52.63","78000","52.47","false"
"ALD","2011-07-13","52.41","52.64","52.41","52.52","62800","52.36","false"
"ALD","2011-07-12","52.15","52.23","52.08","52.21","87800","52.05","false"
"ALD","2011-07-11","52.61","52.61","52.41","52.43","67600","52.27","false"
"ALD","2011-07-08","52.54","52.66","52.53","52.55","67300","52.39","false"
"ALD","2011-07-07","52.36","52.52","52.28","52.49","95600","52.33","false"
"ALD","2011-07-06","52.24","52.40","52.24","52.36","36400","52.20","false"
"ALD","2011-07-05","52.14","52.50","52.14","52.32","102300","52.16","false"
"ALD","2011-07-01","52.20","52.39","52.11","52.31","52500","52.15","false"
"ALD","2011-06-30","52.10","52.23","52.08","52.12","162700","51.96","false"
"ALD","2011-06-29","52.02","52.06","51.87","52.04","95400","51.88","false"
"ALD","2011-06-28","51.63","51.75","51.60","51.73","59700","51.57","false"
"ALD","2011-06-27","51.65","51.67","51.58","51.58","98600","51.42","false"
"ALD","2011-06-24","51.86","51.86","51.75","51.79","80700","51.63","false"
"ALD","2011-06-23","51.86","51.89","51.78","51.88","98300","51.72","false"
"ALD","2011-06-22","52.03","52.09","51.99","51.99","103500","51.83","false"
"ALD","2011-06-21","51.91","52.04","51.91","51.99","83100","51.76","false"
"ALD","2011-06-20","51.78","51.92","51.73","51.81","144200","51.58","false"
"ALD","2011-06-17","51.91","51.96","51.84","51.88","62300","51.65","false"
"ALD","2011-06-16","51.73","51.82","51.63","51.72","78800","51.49","false"
"ALD","2011-06-15","51.98","51.98","51.83","51.87","64400","51.64","false"
"ALD","2011-06-14","52.01","52.11","51.99","52.07","75700","51.84","false"
"ALD","2011-06-13","51.96","52.01","51.88","51.93","54600","51.70","false"
"ALD","2011-06-10","52.11","52.11","51.93","51.99","68600","51.76","false"
"ALD","2011-06-09","52.13","52.13","52.04","52.04","95800","51.81","false"
"ALD","2011-06-08","52.12","52.21","52.02","52.05","124500","51.82","false"
"ALD","2011-06-07","52.27","52.27","52.18","52.25","159000","52.02","false"
"ALD","2011-06-06","52.25","52.29","52.11","52.13","122500","51.90","false"
"ALD","2011-06-03","52.08","52.28","52.01","52.24","112000","52.01","false"
"ALD","2011-06-02","51.95","52.07","51.94","52.06","213700","51.83","false"
"ALD","2011-06-01","52.11","52.13","51.90","51.95","173900","51.72","false"
"ALD","2011-05-31","52.01","52.10","51.88","51.96","3088100","51.73","false"
"ALD","2011-05-27","51.80","51.86","51.72","51.82","71200","51.59","false"
"ALD","2011-05-26","51.56","51.66","51.56","51.66","58400","51.43","false"
"ALD","2011-05-25","51.31","51.44","51.31","51.40","25900","51.17","false"
"ALD","2011-05-24","51.53","51.53","51.40","51.51","106700","51.28","false"
"ALD","2011-05-23","51.45","51.56","51.31","51.50","51600","51.27","false"
"ALD","2011-05-20","51.84","51.91","51.67","51.91","53900","51.68","false"
"ALD","2011-05-19","51.76","51.89","51.68","51.89","103300","51.66","false"
"ALD","2011-05-18","51.66","51.73","51.53","51.57","54500","51.34","false"
"ALD","2011-05-17","51.54","51.60","51.36","51.46","52600","51.23","false"
"ALD","2011-05-16","51.64","51.64","51.39","51.39","98700","51.16","false"
"ALD","2011-05-13","51.86","51.86","51.61","51.74","47100","51.51","false"
"ALD","2011-05-12","51.84","51.92","51.75","51.88","119000","51.65","false"
"ALD","2011-05-11","52.12","52.18","51.78","51.93","69000","51.70","false"
"ALD","2011-05-10","51.99","52.00","51.80","52.00","27700","51.77","false"
"ALD","2011-05-09","51.83","51.94","51.83","51.94","29000","51.71","false"
"ALD","2011-05-06","51.95","51.95","51.69","51.74","67200","51.51","false"
"ALD","2011-05-05","51.84","51.84","51.58","51.62","93700","51.39","false"
"ALD","2011-05-04","52.13","52.16","51.89","52.00","147000","51.77","false"
"ALD","2011-05-03","52.20","52.21","52.03","52.10","87000","51.87","false"
"ALD","2011-05-02","52.41","52.45","52.30","52.36","153000","52.13","false"
"ALD","2011-04-29","52.35","52.45","52.18","52.38","211000","52.15","false"
"ALD","2011-04-28","52.27","52.27","52.05","52.14","234300","51.91","false"
"ALD","2011-04-27","51.90","52.01","51.84","52.01","113600","51.78","false"
"ALD","2011-04-26","51.76","51.86","51.75","51.82","78100","51.59","false"
"ALD","2011-04-25","51.91","51.94","51.73","51.73","75100","51.50","false"
"ALD","2011-04-21","51.95","52.01","51.89","51.94","109400","51.71","false"
"ALD","2011-04-20","51.74","51.94","51.74","51.89","152200","51.66","false"
"ALD","2011-04-19","51.95","51.95","51.59","51.60","118900","51.37","false"
"ALD","2011-04-18","51.63","51.63","51.45","51.57","59400","51.34","false"
"ALD","2011-04-15","51.56","51.65","51.56","51.63","115000","51.40","false"
"ALD","2011-04-14","51.43","51.55","51.42","51.53","66600","51.30","false"
"ALD","2011-04-13","51.49","51.50","51.32","51.44","40900","51.21","false"
"ALD","2011-04-12","51.55","51.61","51.37","51.44","56900","51.21","false"
"ALD","2011-04-11","51.58","51.68","51.35","51.35","79200","51.12","false"
"ALD","2011-04-08","51.50","51.70","51.50","51.69","227000","51.46","false"
"ALD","2011-04-07","51.31","51.45","51.30","51.42","107000","51.19","false"
"ALD","2011-04-06","51.26","51.41","51.23","51.41","253200","51.18","false"
"ALD","2011-04-05","51.13","51.19","51.04","51.16","44900","50.93","false"
"ALD","2011-04-04","51.12","51.19","51.12","51.16","114400","50.93","false"
"ALD","2011-04-01","50.98","51.17","50.98","51.16","267800","50.93","false"
"ALD","2011-03-31","51.02","51.02","50.90","50.98","39800","50.75","false"
"ALD","2011-03-30","50.99","50.99","50.80","50.81","56000","50.58","false"
"ALD","2011-03-29","50.82","50.86","50.77","50.80","39700","50.57","false"
"AUSE","2011-09-16","53.08","53.08","52.64","52.79","5000","52.79","false"
"AUSE","2011-09-15","52.23","52.76","52.23","52.69","13400","52.69","false"
"AUSE","2011-09-14","51.91","52.55","51.00","52.15","7200","52.15","false"
"AUSE","2011-09-13","52.11","52.73","52.02","52.49","9600","52.49","false"
"AUSE","2011-09-12","51.74","52.42","51.19","52.42","3100","52.42","false"
"AUSE","2011-09-09","54.00","54.00","52.93","53.11","13400","53.11","false"
"AUSE","2011-09-08","55.15","55.30","54.50","54.64","3300","54.64","false"
"AUSE","2011-09-07","54.93","55.41","54.76","55.37","3000","55.37","false"
"AUSE","2011-09-06","53.16","53.70","52.74","53.68","9500","53.68","false"
"AUSE","2011-09-02","55.22","55.35","54.63","54.98","8300","54.98","false"
"AUSE","2011-09-01","56.55","57.33","56.47","56.66","1800","56.66","false"
"AUSE","2011-08-31","56.74","57.41","56.65","57.06","4900","57.06","false"
"AUSE","2011-08-30","55.92","56.57","55.77","56.46","12200","56.46","false"
"AUSE","2011-08-29","56.12","56.47","56.01","56.47","6700","56.47","false"
"AUSE","2011-08-26","54.17","55.33","53.62","55.17","5200","55.17","false"
"AUSE","2011-08-25","55.01","55.04","53.65","53.81","13200","53.81","false"
"AUSE","2011-08-24","54.77","54.97","54.33","54.69","8400","54.69","false"
